townland,county,entity_id,class_code,monument_type,latitude,longitude,web_notes,website_link
Scartaglin,Kerry,KE04517,STCI,Stone circle,52.18731,-9.388741,"Stone circle described by O'Hare (1996, 11-12) as follows; 'Four stones, three upright and one fallen, are visible at this site, enclosing a roughly horseshoe shaped area which lies open to the north. A fifth stone standing to the southwest, appears to form an outlier. The stones are standing on a level break in a steep southeast facing slope, in an area of rough mountain pasture.  The site commands a view over the roiling land which lies to the east, southeast, south and southeast.  Beginning at east and running clockwise, the dimensions of each stone are as follows: Stone 1 measures 1.05m in height, 56cm in breadth and 49cm in width. The stone, which is roughly triangular in section, is aligned northeast-southwest and is separated by a distance of 92cm from stone 2, which lies to the southwest.  Stone 2 measures 80cm in height, 84cm in breadth and 59cm in width. The stone is aligned east west and is somewhat irregular in outline. A distance of 1.3m separates it from stone 3 which lies to the northwest.  Stone 3 measures 95cm in height, 79cm in breadth and c. 48cm in width. The stone, which tapers towards its north-west end, is aligned southeast-northwest. A distance of 45cm separates it from stone 4, which lies to the north of it.  Stone 4 is prostrate, measuring 1.05m in length, 46cm in breadth and 40cm in width. Stones 1 to 4 enclose an area roughly 3m north-south and 2.6m east-west.  The outlier, stone 5, stands c. 2m southwest of stone 3.  It measures 1.25 in height, 96cm in breadth and c. 59cm in width. The stone, which is rectangular in section, is aligned east west. A number of other stones lie scattered in and around the site and probably represent field clearance'.See attached photograph and sketch plan drawn by the Castleisland District Archaeological SurveyCompiled by: Caimin O'BrienDate of upload: 21 April 2022", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=KE049-028001-
"Ballahantouragh (Trughanacmy By., Carker Ed)",Kerry,KE04613,STCI,Stone circle,52.146826,-9.38225,"Possible stone circle described by O'Hare (1996, 11) as follows; 'The minutes of the Kerry Field Club record the presence of a number of ""gallauns"" ""some overturned"" in the townland of Ballahantouragh,  ""these they identified as a stone circle with two large gallauns standing apart; one to the east and one to the west"".  The site was disturbed and the stones were overturned by people searching for gold (Vol. 1, 1941, 180). Unfortunately the exact location of the site was not recorded in the above extract. However, its probable location was indicated to the author in April 1990, by the owner of this land. He recalled having seen one large stone at this site, to the east of which stood six or seven smaller stones in a circle. Today a stone, measuring 1.65m in height, c 1.40m in breadth and 80cm in width, stands at the site. It is bordered on the south by a field fence, running roughly southeast northwest. The stone, which is of sandstone, is roughly triangular in section and aligned east-west. The 2m gap which lies between the stone and the field fence, is occupied by stones which have obviously been cleared from elsewhere and just thrown there. A further jumble of stones lie at a distance of 28m roughly to the east of this stone. It is not possible to say whether or not these stones once formed a part of the monument or are merely stones gathered together in the course of field clearance. However, standing 2m to the south of these is another stone, roughly square in section and measuring 70cm in height, 75cm in breadth and 60cm in width. It consists of sandstone.  The field is under pasture, and in the general site area, slopes away to both the north and south, with a less obvious slope to the east. The site commands a view over the hillslope lying to the northwest, north and south, while the Paps mountains are visible in the distance to the southeast'.  Two upright stones are clearly visible on Digital Globe orthoimage taken between 2011-13.  These stones are clearly visible on Google Earth orthophoto taken 03/04/2013.See attached Google Earth orthoimage.Compiled by: Caimin O'BrienDate of upload: 21 April 2022", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=KE049-110----
An Dromaid,Kerry,KE08501,MUSC,Stone circle - multiple-stone,51.857081,-10.114651,"This small monument, not marked on the OS maps, is located on the NW side of the valley of the Cummeragh river, in rough pastureland that overlooks Lough Currane to SW. It consists of an oval arrangement of five stones with its longer axis lying NE-SW. It may have originally consisted of seven stones. Its interior features an infill of field debris, .5m high. The largest stone of the circle is at W; it stands 2m high and measures 1.6m x .4m at base. At SW is a squat, block-like boulder measuring .83m x .9m x .5m. The orthostat at S is 1.8m high, 1.1m wide and .5m thick. The limits of the E side of the circle are defined only by field debris. The stone at NE inclines markedly outwards and stands .8m high, 1.1m wide and .4m thick. A prostrate boulder-like slab occurs adjacent to this at N, and measures 1.9m x 1.2m x .4m. Neither the portals nor the axial stone of the monument can be identified (Ó Nualláin 1984a, 26). The 'bronze staff from the stone row and cairn in this townland (KE089-035----) was mistakenly associated by Ó Nualláin with this site. An outlying monolith (KE089-053001-), 6.65m NW of the possible stone circle, is incorporated into a field wall. It stands 1.3m high and measures .6m x .5m at base. It is of regular elevation.The above description is derived from A. O'Sullivan and J. Sheehan (compilers), 'The Iveragh peninsula: an archaeological survey of South Kerry'. Cork University Press (1996), no. 381. In certain instances the entries have been revised and updated in the light of recent research. Date of upload: 28 July 2013 ", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=KE089-053----
Killowen,Kerry,KE08870,MUSC,Stone circle - multiple-stone,51.887063,-9.56663,"In level pasture, to the N of Kenmare Bay. There are no visible remains of this stone circle. It was indicated as a circle of stones (diam. c. 10m), enclosing a central stone, on the 1846 OS 6-inch map. A sketch of it from the 1842 OS Memoranda, County Kerry, reproduced by Ó Nualláin (1984a, 63, fig. 12) depicts a circle of eleven stones surrounding a central stone, which appears to have had a cupmark on its upper surface. The caption on the sketch reads: 'An ancient circle of gallauns varying from 2 to 3 feet [0.6-0.91m] high and some lying prostrate' (ibid.). Ó Nualláin (1975, 86) suggests that the central stone may have been the capstone of a boulder-burial (KE093-018001-). (Ó Nualláin 1984a, 26, no. 40)  The above description is derived from the published 'Archaeological Inventory of County Kerry. Volume I: South-West Kerry' (Dublin: Stationery Office, 2009). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload: 30 May 2011", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=KE093-018----
Kenmare,Kerry,KE08893,MUSC,Stone circle - multiple-stone,51.878493,-9.588251,"In level pasture, on the SW outskirts of Kenmare town. A subcircular area (17m E-W; 15m N-S) is enclosed by fifteen stones (L 0.8-1.6m; T 0.2-0.7m; H 0.3-1.2m), two of which are prostrate. The axial stone is the lowest and is a regular flat-topped slab contrasting with most of the other stones, which with one or two exceptions, are of boulder type. A boulder-burial (KE093-032002-) occupies the centre of the stone circle. (Ó Nualláin 1984a, 26, no. 41)  The above description is derived from the published 'Archaeological Inventory of County Kerry. Volume I: South-West Kerry' (Dublin: Stationery Office, 2009). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload: 30 May 2011  This monument is subject to a preservation order made under the National Monuments Acts 1930 to 2014 (PO no. 6/1970).", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=KE093-032001-
Doughill,Kerry,KE08910,MUSC,Stone circle - multiple-stone,51.870384,-9.506943,"In level pasture, c. 60m S of a stream at the foot of the W slope of Knockbrack. There are no visible remains of this stone circle. Windele (RIA MS 12.C.11, 293) described a circle 'of sixteen stones none of them higher than 4 feet [1.21m] and some of them four feet [1.21m] broad. The diameter is 13 paces or about 30 feet [9.1m]. It is open at the NW either as originally or by the removal of a stone…'. His accompanying sketch shows a possible axial stone. Ó Nualláin (1984a, 27, no. 42) noted that the circle was clearly of the Cork-Kerry type and 'probably consisted of seventeen orthostats enclosing an area about 9m in diameter'.  The above description is derived from the published 'Archaeological Inventory of County Kerry. Volume I: South-West Kerry' (Dublin: Stationery Office, 2009). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload: 30 May 2011", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=KE093-042----
Lackaroe,Kerry,KE08921,MUSC,Stone circle - multiple-stone,51.861942,-9.513268,"In pasture, on the shoulder of a SW-facing slope overlooking the valley of the Sheen River. A circle (diam. 8m) of probably thirteen mainly boulder-type stones. Eight stones (L 0.75-1m; T 0.2-0.65m; H 0.75-1.05m), including an axial and one entrance stone, are standing. One stone is leaning and the remaining four are prostrate. A possible boulder-burial (KE093-050003-) stands just S of centre and is surrounded by a series of stones (L 0.3-0.6m; T 0.25-0.35m; H 0.15-0.45m), six of which form an outer circular arrangement (diam. 2.8m). An enclosure (KE093-050002-) lies c. 20m to the SE.  The above description is derived from the published 'Archaeological Inventory of County Kerry. Volume I: South-West Kerry' (Dublin: Stationery Office, 2009). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload: 30 May 2011", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=KE093-050001-
Dromatouk,Kerry,KE08998,FISC,Stone circle - five-stone,51.883231,-9.525764,"In reclaimed pasture, c. 4km E of Kenmare. This stone circle (diam. 2.65m) consists of five upright stones (L 0.85-1.2m; T 0.4-0.55m; H 0.3-0.8m). The interior is c. 0.15m higher than the surrounding ground level. The axial stone is the smallest of the group and has a slight external bevel on its upper surface. Two mature trees grow in the interior. There is an anomalous stone group (KE093-026001-) c. 220m to the NNE, a radial-stone cairn (KE093-025002-) c. 200m to the SSW and a stone row (KE093-088----) c. 250m to the E. (Ó Nualláin 1975, 90, fig. 34; 1984a, 45, no. 92)  The above description is derived from the published 'Archaeological Inventory of County Kerry. Volume I: South-West Kerry' (Dublin: Stationery Office, 2009). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload: 30 May 2011", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=KE093-087----
Uragh,Kerry,KE09846,STCI,Stone circle,51.813878,-9.689744,"In rough pasture, on bog near the SW bank of the Ameen River. Three upright stones which protrude above the surface of the bog in an arc ESE-WSW may be the remains of a stone circle. The stone at ESE (H 1.12m; 1.1m x 0.3m) stands 0.9m from the stone at S. The stone at S (H 0.9m; 1m x 0.3m) stands 0.8m from the stone at WSW (H 0.15m; 1.05m x 0.15m).  The above description is derived from the published 'Archaeological Inventory of County Kerry. Volume I: South-West Kerry' (Dublin: Stationery Office, 2009). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload: 30 May 2011", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=KE101-105----
Cashelkeelty,Kerry,KE10650,MUSC,Stone circle - multiple-stone,51.757198,-9.814922,"In rough pasture, on a terrace to the S of a medieval road (KE108-013007-), on the lower N-facing slopes of Knocknaveacal. The remains of this stone circle comprised two upright stones (1.4m x 0.4m; H 2.55m; 0.9m x 0.7m; H 1.5m), 3.4m apart and between them a fallen stone resting against outcropping rock. The fallen stone was re-erected following on from the excavation in 1977 which revealed that the upright stones formed part of a circle (diam. c. 17m) of eleven or thirteen stones (Lynch 1981, 65-9). The only artifact recovered during the excavation was a flint scraper. A standing stone (KE108-013008-) which was indicated c. 30m NW of the stone circle on the 1897 OS 6-inch map, but which does not survive, may have been an outlier of this stone circle. A five-stone circle (KE108-013004-) and a stone row (KE108-013002-) lie c. 80m to the E and there are field boundaries (KE108-013005-) to the N and E. (Ó Nualláin 1984a, 29, no. 47)  The above description is derived from the published 'Archaeological Inventory of County Kerry. Volume I: South-West Kerry' (Dublin: Stationery Office, 2009). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload: 30 May 2011", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=KE108-013001-
Cashelkeelty,Kerry,KE10653,FISC,Stone circle - five-stone,51.757107,-9.81386,"In rough pasture, on a terrace to the S of a medieval road (KE108-013007-), on the lower N-facing slopes of Knocknaveacal. This stone circle (diam. 1.5m) is represented by an axial stone (L 1.5m; T 0.3m; H 0.5m) with a flanking stone on either side at N (L 0.8m; T 0.35m; H 0.65m) and at S (L 0.9m; T 0.4m; H 0.7m). Excavation in 1977 revealed sockets of the missing entrance stones, a flint point and a broken sandstone artifact, possibly an ard point (Lynch 1981, 65-9). A central pit-burial (KE108-013003-), covered by a single slab and containing the cremated remains of an adult, was also revealed. Based on radiocarbon dates acquired, the excavator assigned the construction of the stone circle to the period 970-715 bc [1308-774 cal. BC] (ibid., 66). There is a stone row (KE108-013002-) c. 1m to the S and a multiple-stone circle (KE108-013001-) c. 80m to the W. A field boundary (KE108-013006-) lies c. 70m to the E and other field boundaries (KE108-013005-) lie c. 15m to the W and c. 8m to the S. (Ó Nualláin 1984a, 45, no. 93)  The above description is derived from the published 'Archaeological Inventory of County Kerry. Volume I: South-West Kerry' (Dublin: Stationery Office, 2009). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload: 30 May 2011", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=KE108-013004-
Shronebirrane,Kerry,KE10666,MUSC,Stone circle - multiple-stone,51.73772,-9.804135,"In pasture, in the narrow valley of the Drimminboy River. An incomplete circle (diam. 7.5m) comprising eight upright stones (H 1.18-2m; 0.8-2m x 0.2-0.6m) and one fallen stone, stands in an arc ESE-NNW. One stone (H 0.4m) appears to be broken. The axial stone, which leans inwards, has a flat top and is the longest and lowest stone. The stones in the S half of the perimeter decrease in height as they approach the axial stone. Ó Nualláin (1984a, 29) suggests that this stone circle, 'if symmetrically designed, would seem to have consisted of thirteen closely-set stones'. (Ó Nualláin, 1984a, 29, no. 46)  The above description is derived from the published 'Archaeological Inventory of County Kerry. Volume I: South-West Kerry' (Dublin: Stationery Office, 2009). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload: 30 May 2011", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=KE108-022----
Drombohilly Upper,Kerry,KE10798,MUSC,Stone circle - multiple-stone,51.786909,-9.754099,"In rough pasture, on a ridge on the lower slopes of Knochanouganish Hill. This stone circle (diam. 8.5m) consists of nine pillar-like orthostats (L 0.35-1.3m; T 0.3-0.6m; H 1.15-2.1m). Two radially set stones form the entrance at NNE, the most easterly stone leaning to the W. The circle may originally have had eleven stones as the axial stone and one other stone are missing. A relict field boundary (KE109-003003-) lies c. 1m to the N. (Ó Nualláin 1984a, 30, no. 48)  The above description is derived from the published 'Archaeological Inventory of County Kerry. Volume I: South-West Kerry' (Dublin: Stationery Office, 2009). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload: 30 May 2011", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=KE109-003001-
Dromagorteen,Kerry,KE09949,MUSC,Stone circle - multiple-stone,51.831185,-9.511366,"In Bonane Heritage Park, on a break on a SW-facing slope. A circle (diam. 10m) of probably thirteen stones, six of which are upright. The stones measure L 0.75-1.55m; T 0.4-0.8m and H 0.8-1.4m. One of the entrance stones at the NNE, a quartz-veined boulder, has fallen. The other entrance stone (1m x 0.8m; H 1.4m) is the tallest stone. The flat-topped axial stone (1.6m x 0.8m; H 0.8m) stands at SSW. A boulder-burial (KE102-032003-) occupies the centre of the interior. A fulacht fia (KE102-032004-) lies c. 25m to the E.  The above description is derived from the published 'Archaeological Inventory of County Kerry. Volume I: South-West Kerry' (Dublin: Stationery Office, 2009). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload: 30 May 2011", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=KE102-032002-
Lohart,Kerry,KE09581,MUSC,Stone circle - multiple-stone,51.837195,-9.706813,"In the garden of a house, to the N of the Kenmare-Castletownbere road and c. 9.5km SW of Kenmare. In 1841 this stone circle was described as 'a circle of standing stones with a small cromlech [KE101-007002-] in the centre. The circle is thirty-five feet, six inches [10.82m] in diameter and composed of twelve standing stones, each being from four feet to five feet ten inches [1.21m-1.77m] in height, three feet [0.91m] wide and two feet [0.6m] thick' (OSL, 176). According to Ó Nualláin (1984a, 28, no. 44), the stone circle was in a ruinous condition for many years and was reconstructed c. 1964 and most likely now bears little resemblance to its original form. It now consists of a U-shaped arrangement of loosely set upright stones with a possible boulder-burial (KE101-007002-) in the centre.  The above description is derived from the published 'Archaeological Inventory of County Kerry. Volume I: South-West Kerry' (Dublin: Stationery Office, 2009). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload: 30 May 2011", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=KE101-007001-
Dromroe (Glanarought By.),Kerry,KE09585,MUSC,Stone circle - multiple-stone,51.832956,-9.623955,"In rough pasture, on the W side of the valley of the Dromoghty River. This stone circle (diam. 9.5m) consists of thirteen stones (L 0.8-1.6m; T 0.3-0.6m; H 0.8-1.6m), three of which are prostrate. Only one entrance stone stands and it is radially set on the circumference at E. The axial stone has a flat top and, unusually, it is not the lowest stone in the circle. In the interior of the circle is a centrally placed boulder-burial (KE101-010002-) and 2m S of it is a standing stone (KE101-010003-). (Ó Nualláin 1971, fig. 2, site D; 1984a, 28-9, no. 45)  The above description is derived from the published 'Archaeological Inventory of County Kerry. Volume I: South-West Kerry' (Dublin: Stationery Office, 2009). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload: 30 May 2011", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=KE101-010001-
Uragh,Kerry,KE09589,FISC,Stone circle - five-stone,51.811575,-9.69546,"In rough pasture, on a ridge overlooking Lough Inchiquin to the SE. Five stones (H 0.86-1.09m; 0.65-1m x 0.2-3m) form the circle (diam. 2.5m). The flat-topped axial stone is at SW. The entrance stone at S leans heavily outwards. Much of the interior has been dug out to a depth of 0.3m. The monument is dominated by the massive standing stone (KE101-012002-) just 0.6m SW of the axial stone. An enclosure (KE101-012003-) lies c. 16m to the NW. (Twohig 1987, 113)  The above description is derived from the published 'Archaeological Inventory of County Kerry. Volume I: South-West Kerry' (Dublin: Stationery Office, 2009). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload: 30 May 2011", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=KE101-012001-
Uragh,Kerry,KE09632,MUSC,Stone circle - multiple-stone,51.807782,-9.704121,"In rough pasture, on the N slope of Knockreagh Mountain. An irregular circle (diam. 7.5m NE-SW x 8.5m NW-SE) of ten stones (H 1-1.25m; 0.6-1.4m x 0.4-0.7m), two of which have fallen and another two of which are incorporated into a field boundary at SW. A large gap between two stones in the SE arc suggests the former presence of an eleventh stone. Two transversely set entrance stones stand at NE and directly opposite is the flat-topped axial stone. Two low stones (H 0.3 and 0.4m) are exposed 2m NE of the entrance and may be an elaboration of this feature or perhaps part of a field boundary. A boulder-burial (KE101-025002-) occupies the centre of the circle and a possible fulacht fia (KE101-025004-) abuts the outer face of the axial stone. Three further boulder-burials (KE101-025003-, KE101-025005-, KE101-025006-) stand c. 8-10m to the SW. (Twohig 1987, 111-18)  The above description is derived from the published 'Archaeological Inventory of County Kerry. Volume I: South-West Kerry' (Dublin: Stationery Office, 2009). In certain instances the entries have been revised and updated in the light of recent research.  Date of upload: 30 May 2011", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=KE101-025001-
Raheen (Kells By.),Kilkenny,KK05114,STCI,Stone circle,52.375775,-7.278545,"The Archaeological Survey of Ireland (ASI) is in the process of providing information on all monuments on The Historic Environment Viewer (HEV). Currently the information for this record has not been uploaded.  To access available  information for research purposes please make an appointment in advance with the Archive Unit (open Fridays 10.00 am – 5.00 pm), Department of Culture, Heritage and the Gaeltacht,  The Custom House, Dublin 1 D01W6XO or email nmarchive@chg.gov.ie.", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=KK039-082----
Ballinlyna Lower,Limerick,LI05536,STCI,Stone circle,52.345878,-8.481427,"In pasture, immediately N of a track running roughly E-W. An enclosure (LI056-013----) lies 264m to the W. Not marked on 1840 ed. OSi 6-inch map. Annotated ‘Stone Circle’ on the Cassini ed. OSi 6-inch map. Described in 1931 as ‘a huge stone circle souterrains’ (O’Shaughnessy and Carroll 1931, 75) in the vicinity of Cahir Mortle.  No surface remains visible on Digital Globe orthoimage taken between 2011-2013 or on Google Earth orthoimages. See attached Google Earth orthoimages Compiled by: Fiona Rooney Date of upload: 23 November 2021", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=LI056-014----
Cloghchurnel,Longford,LF00355,STCI,Stone circle,53.800743,-7.471146,"In pasture just to the NW of the top of a ridge, with extensive views of the surrounding countryside, and immediately to the SW of a WNW-ESE roadway. This incomplete stone circle (diam. c. 40m) consists of 19 stones arranged in a roughly D-shaped configuration with two stones at ENE, adjacent to the road-side fence, giving a straight edge to the circle on this side. Neither of these stones appears to be set in the ground and they may be displaced. The arrangement of the other surviving stones supports the interpretation of it being a true ‘circle’ and, if this is correct, then the entire monument is contained to the SW of the road which, as a routeway, would have respected its presence in skirting its N perimeter. A number of the stones are set contiguously while others are widely spaced. Nine of the stones are upright monoliths set on edge with their axes along the perimeter of the circle. One of these, the eighth in order from the road-side field boundary at ENE, is atypical in having its axis at an angle to the perceived line of the circle. The remaining stones are either recumbent or, in the case of the two at ENE nearest the road-side fence, possibly displaced. The highest stone (H 1.7m; Wth 1.1m; T 0.8m) is at SE  and the largest recumbent stone (L 1.95m; Wth 0.98m; T 0.59m) is at ESE. The interior rises towards the centre and this does not appear to be artificial. There is a standing stone (LF011-061----) c. 120m to the NW. (O’Donovan 2003, 18)  Compiled by: Paul Walsh  Date of upload: 1 March 2012  This monument is subject to a preservation order made under the National Monuments Acts 1930 to 2014 (PO no. 4/1983).", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=LF011-007----
Cartronbore,Longford,LF00363,STCI,Stone circle,53.779927,-7.46417,"On a gentle NW-facing slope in undulating pasture. A subcircular area (c. 28m NW-SE; c. 24.9m NE-SW) defined by nine glacial erratics: two are upright, four are recumbent but were probably originally in an upright position, and three consist of large irregularly shaped boulders. The uprights are at WSW (H 1.36m) and NW (H 1.55m). The recumbent stones are at NE (L 2.3m), SSE (L 2.2m), S (L 2.5m) and WNW (L c. 2.2m). The stone at WNW is broken into two unequal pieces. The remaining three boulders are at ENE (one) and SE (two). At NNW is a spread of small and medium-sized stones (5.7m x 4.2m). Two low erratics were noted c. 5.7m and c. 19m to the SE of the monument. (ITA Survey 1944; Ó Nualláin 1975, 111; O'Donovan 2003, 20; Moore 2007, No. 5)  Compiled by: Patrick F. O'Donovan  Date of upload: 22 November 2012  See attached plan and elevation of the monument (LF011-016----_01.pdf) and an aerial photograph (LF011-016----_01.jpg).", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=LF011-016----
Carrickedmond,Louth,LH00255,STCI,Stone circle,54.051858,-6.431748,"Described by Wright (1758, 8-9, Pl. 2, Site A) as 'temple or place of devotion' and illustrated as a double ringed circle or enclosure with two small internal circular features.  Reference:  Wright, T. 1758 Louthiana: or an introduction to the antiquities of Ireland. London. Thomas Payne.  Compiled by: Claire Breen  Date of upload: 17 November 2011 ", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=LH004-100001-
Ravensdale Park,Louth,LH00099,STCI,Stone circle,54.077935,-6.345656,"The following description is derived from both the published 'Archaeological Inventory of County Louth' (Dublin: Stationery Office, 1986) and the 'Archaeological Survey of County Louth' (Dublin: Stationery Office, 1991). In certain instances the entries have been revised and updated in the light of recent research. Date of upload/revision: 17 July 2007  Eight regularly-spaced stones enclosing an oval area (7m by 4m), reputedly exposed by Lord Clermont c. 1840 (CLAJ 1906, 96). The OS 1:2500 sheet (1907) shows five stones, concentric with the circle, to the E. The sites of four standing stones (LH004-002002-, LH004-002003-, LH004-002004- and LH004-002005-) lie 40m SW of the monument. Tempest (CLAJ 1942, 128-32) suggests that the origins of the monument may be doubtful owing to the small area of the circle, the surface mobility of the stones and the irregular spacing. This may be partly explained by the original lowering of the ground level around the stones to reveal them and their constant re-setting by estate workmen.   Borlase (1897, vol. 2, 421) records the location of the site, or one exactly similar, as being at Dromiskin. This was also a Clermont estate, and thus confusion may have arisen. The site has been suggested as part of landscaping by Lord Clermont, but may equally be part of a genuine prehistoric site, though Davies (UJA 1939, 13) does note that it does not conform to any known circle type.", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=LH004-002001-
Balregan,Louth,LH00548,STCI,Stone circle,54.02924,-6.438171,"Monument described and illustrated by Wright (1758, Book 3, p. 7-8, Pl 1, Site A) as a circle of five large stones. No visible trace survives.  Reference:   Wright, T. 1758 Louthiana: or an introduction to the antiquities of Ireland. London. Thomas Payne.  Compiled by: Claire Breen  Date of upload: 23 November 2011 ", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=LH007-001003-
Grange (Smallcounty By.),Limerick,LI03003,BASC,Stone circle - embanked,52.515315,-8.544464,"National monument in state ownership No. 247.  The levelled possible embanked stone circle with adjoining megalithic structure (LI032-003----) is located in grassland 550m W of Lough Gur with Limerick-Cork road immediately to E.  According to Professor Robert Harkness (1869, 389-90) the monument was levelled some time in the early 1830s during the construction of the adjoining Limerick-Cork mail road.   This levelled monument is located in an area with a large concentration of prehistoric monuments.  Two standing stones (LI032-009-/010002-) lie 255m and 340m respectively to the NE,  two stone circles (LI032-006----/005) lie 150m to E, a roadway depicted as 'Cladh na Leac' (LI032-010001-) running roughly N-S lies 375m to E.  Grange embanked stone circle (LI032-004001-) with site of megalithic structure depicted as Dolmen (Site of) (LI032-004002-) stands 150m to SSE,  a standing stone marked as 'Cloch á bhíle' stands 275m to SSE with a levelled megalithic structure (LI032-010003-)  depicted as 'Giants Grave (Site of) lies 465m to SSE.   Grange Castle (LI032-001002-) and Cathar Chinn Chon (LI032-001002-) stands 215m to W.      No monument is depicted at this location on the first edition Ordnance Survey [OS] 6-inch map.  However on the revised 1927 edition OS map, the monument is hachured as an oval-shaped platform which is annotated by the OS as a 'Stone Circle (Site of)' with a 'Stone Avenue' (LI032-003----) immediately to SSE depicted as a small oval shaped setting of 7 orthostats.             Harbison (1970, 155) suggested that the monument may have been the remains of a megalithic tomb.   However in 1869 Professor Harkness described the site as a stone circle which had been partially destroyed during the construction of the adjoining Limerick-Cork mail road.  He recorded the following details about this monument: ‘A short distance N.W of these three circles (LI032-005-/006-/004001), and in a field adjoining the Limerick high-road, there are other traces of prehistoric remains.  These occur in the form of a few large blocks of stone arranged in a double row (LI032-003----).  They may have originally formed the western side of the large imperfect circle, having been removed from thence when the road was being made.  There is also in the same field a large cup-shaped depression about 210 paces in diameter, but whether this is a natural or an artificial production there is not sufficient evidence at present to determine’ (Harkness 1869, 389-90).  This cup-shaped depression may be a reference to an embanked stone circle.  In 1895 the monument was described as following; ‘About one hundred and twenty yards north-west of the chief circle [LI032004001-], at the opposite side of the main road to Limerick, there is a cup-shaped circle with a diameter of two hundred and thirty feet.  Not a stone is now left in this circle, the last having been taken away about sixty years ago. There are traces of this circle having been formerly surrounded by a rath. An avenue (LI032-003----) bordered on each side with stones much sunk in the ground, of which only thirteen are now left, meets the circle at the north-east side. The avenue is about thirty feet wide, but it narrows as it approaches the circles, and right in the middle of it, near the circle, there is a stone much buried in the ground. The stones are very irregularly placed, and some have been shifted from their original positions’ (Lynch 1895, 300).  Today the outline of a roughly oval-shaped area (approx. diam. 85m N-S;  62m E-W) is visible on Digital Globe aerial photograph.  The S side of this levelled earthwork was intersected by a levelled field boundary depicted on the first edition of the OS 6-inch map.   The outline of this monument is clearer on earlier OSI aerial photographs which shows a linear earthwork possibly a levelled field boundary running N-S across the E quadrant of the monument.  The linear earthwork appears to be contemporaneous with similar earthworks running N-S to", https://maps.archaeology.ie/HistoricEnvironment/?SMRS=LI032-002----
